id,real_language,fake_language,real_unique_languages,fake_unique_languages,real_lang_counts,fake_lang_counts
0,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 9},{'en': 10}
1,"['en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 6},{'en': 9}
2,"['en', 'en', 'en', 'en']","['en', 'en', 'en']",['en'],['en'],{'en': 4},{'en': 3}
3,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 8}
4,"['en', 'en', 'en', 'en']","['en', 'en', 'en', 'en']",['en'],['en'],{'en': 4},{'en': 4}
5,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 10}
6,"['en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 4},{'en': 5}
7,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 5}
8,"['en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 4},{'en': 5}
9,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 7},{'en': 7}
10,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",[],['en'],[],{'en': 9},{}
11,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 5}
12,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['lt'],['en'],['lt'],{'en': 8},{'lt': 1}
13,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 5},{'en': 5}
14,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",[],['en'],[],{'en': 9},{}
15,"['en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 4},{'en': 5}
16,"['en', 'en', 'en', 'en']",['ro'],['en'],['ro'],{'en': 4},{'ro': 1}
17,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 14}
18,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 10},{'en': 22}
