id,real_word_count,fake_word_count
0,304,296
1,137,454
2,159,125
3,262,263
4,123,34
5,186,227
6,177,142
7,200,139
8,139,97
9,183,158
10,257,0
11,173,147
12,234,32
13,196,261
14,247,0
15,91,138
16,188,9
17,180,289
18,199,413
19,206,277
20,151,292
21,268,432
22,238,228
23,160,243
24,181,327
25,187,191
26,182,351
27,176,255
28,179,229
29,120,308
30,219,337
31,128,256
32,120,208
33,159,218
34,265,499
35,142,205
36,250,227
37,207,213
38,316,351
39,147,172
40,346,614
41,119,225
42,158,281
43,155,336
44,75,167
45,206,464
46,299,428
47,383,208
48,115,249
49,98,294
50,139,215
51,205,311
52,113,230
53,219,190
54,167,352
55,219,576
56,154,265
57,254,565
58,133,130
59,379,395
60,241,928
61,309,836
62,250,915
63,406,751
64,401,389
65,196,214
66,262,925
67,446,488
68,286,925
69,306,296
70,262,268
71,210,982
72,411,784
73,176,957
74,327,297
75,230,241
76,215,1008
77,207,264
78,202,202
79,336,875
80,219,912
81,161,150
82,250,254
83,256,4158
84,177,1003
85,198,197
86,179,1018
87,235,901
88,161,952
89,196,979
90,333,352
91,289,312
92,167,934
93,172,174
94,288,286
